,Code,Code6,CommonName,GenusSpecies
385,USHU,SELSPS,Unidentified Selasphorus Hummingbird,Selaphorus (sp)
386,DUHU,PHASOR,Dusky Hummingbird,Phaeoptila sordida
387,CUEM,RICRIC,Cuban Emerald,Riccordia ricordii
388,BREM,RICBRA,Brace's Emerald,Riccordia bracei
389,HIEM,RICSWA,Hispaniolan Emerald,Riccordia swainsonii
390,PREM,RICMAU,Puerto Rican Emerald,Riccordia maugaeus
391,BHHU,RICBIC,Blue-headed Hummingbird,Riccordia bicolor
392,BBIH,CYNLAT,Broad-billed Hummingbird,Cynanthus latirostris
393,TMHU,CYNLAW,Tres Marias Hummingbird,Cynanthus lawrencei
394,TCHU,CYNDOU,Turquoise-crowned Hummingbird,Cynanthus doubledayi
395,GCEM,CYNAUR,Golden-crowned Emerald,Cynanthus auriceps
396,COEM,CYNFOR,Cozumel Emerald,Cynanthus forficatus
397,CAEM,CYNCAN,Canivet's Emerald,Cynanthus canivetii
398,GAEM,CHLASS,Garden Emerald,Chlorostilbon assimilis
399,WEHU,BASLEU,White-eared Hummingbird,Basilinna leucotis
